Date,Open,High,Low,Close,Adj Close,Volume
05-10-15,8.2335,8.25,7.986,8.019,6.967510704,372570
06-10-15,8.151,8.217,8.052,8.085,7.02485586,371151
07-10-15,8.1675,8.514,8.118,8.514,7.3976034,509850
08-10-15,8.7285,8.844,8.646,8.7615,7.612650738,550209
12-10-15,8.877,8.9595,8.712,8.7945,7.641323316,309639
13-10-15,8.91,9.1575,8.8275,9.141,7.942387893,500544
14-10-15,9.141,9.141,8.9595,8.9925,7.813360302,238260
15-10-15,9.0585,9.141,8.9595,9.108,7.913715315,243639
16-10-15,9.1245,9.1245,8.976,9.108,7.913715315,265122
19-10-15,9.174,9.1905,8.9925,9.042,7.856369169,158301
20-10-15,9.108,9.1245,8.9925,9.075,7.885042737,165858
21-10-15,9.075,9.0915,8.679,8.7285,7.58397717,360756
22-10-15,8.613,8.91,8.613,8.811,7.655658615,308583
23-10-15,8.9925,8.9925,8.778,8.811,7.655658615,270237
26-10-15,8.877,8.9925,8.844,8.9595,7.784687196,184569
27-10-15,8.8275,8.8605,8.6955,8.7285,7.58397717,234564
28-10-15,8.679,8.7285,8.316,8.448,7.340257749,542025
29-10-15,8.547,8.547,8.3325,8.349,7.254238992,220605
30-10-15,8.316,8.5305,8.2335,8.3985,7.297248354,232386
02-11-15,8.5635,8.943,8.5635,8.91,7.741677339,596871
03-11-15,9.075,9.207,9.0255,9.108,7.913715315,575817
04-11-15,9.339,10.0155,9.273,9.9825,8.673547674,976107
05-11-15,10.131,10.131,9.7515,9.801,8.515845987,358611
06-11-15,9.801,9.801,9.504,9.504,8.257789749,476157
09-11-15,9.504,9.669,9.372,9.438,8.200445121,277299
10-11-15,9.3225,9.6525,9.3225,9.4215,8.186107809,338613
11-11-15,9.4215,9.504,9.042,9.075,7.885042737,361317
12-11-15,9.075,9.174,8.745,8.976,7.799024013,292281
13-11-15,8.9595,9.1575,8.745,8.7615,7.612650738,329208
16-11-15,8.745,8.9925,8.6625,8.9265,7.756014618,258456
17-11-15,9.042,9.0585,8.745,8.7615,7.612650738,302445
18-11-15,8.679,8.745,8.481,8.514,7.3976034,313566
19-11-15,8.514,8.745,8.448,8.745,7.598313954,275220
20-11-15,8.646,8.7285,8.58,8.6295,7.497958908,154143
23-11-15,8.712,9.075,8.58,9.075,7.885042737,435171
24-11-15,9.108,9.1905,8.8275,8.844,7.684332678,340527
25-11-15,8.943,9.042,8.6625,8.6625,7.526632014,310596
26-11-15,8.844,9.042,8.7615,9.042,7.856369169,335742
27-11-15,9.009,9.0255,8.7945,8.811,7.655658615,183348
30-11-15,8.679,8.7285,8.481,8.5965,7.46928534,396528
01-12-15,8.613,8.712,8.448,8.613,7.483622124,455136
02-12-15,8.679,8.943,8.6625,8.877,7.713005256,382833
